comment_id,comment_text,author_name,author_channel_id,published_at,like_count,total_reply_count
UgyiWmNhxSHLRlKr9ml4AaABAg,"Dengerin tuh kata si soleman pontoh, ikut rusuh ga bisa dihukum 😅😅😅",@246-J,UCFUPpMg5_FK0PW2tpxNjumA,2025-09-13T22:59:43Z,0,0
UgwSN94ynTOlDvcHkyd4AaABAg,Aku jadi eneg ma stetmen Budiman Sujatmiko yg buta dengan jabatan Amint2,@YektiWiningsih,UCBQ_NHDMERhbqIkxLBjspMw,2025-09-13T22:28:29Z,0,0
UgzkkQ9IG59w_Ml0uFR4AaABAg,Makanya ngelawak saja eko,@MulYono-m1p,UC0MC5t6t99RXaxuKY73UTJg,2025-09-13T17:13:35Z,0,0
UgyKiKA_KM_wSGLzvUl4AaABAg,"Belajar dari masa lalu, banyak sejarah sengaja dihapus dan dibelokkan arahnya. Banyak pahlawan Nasional yg ikut andil kemerdekaan NKRI , malah di cap sebagai penjahat. 

Alhamdulillah di masa sekarang kebebasan penyampaian pendapat dijamin UU dan kebenaran bisa disuarakan dengan lantang.

Save Fery Irwandi, guru gembul, dan tokoh lain yg berani bersuara mewakili rakyat Indonesia.",@adinindy,UC4bPU6EqSY3Hi-12hKaNQfw,2025-09-13T14:55:38Z,0,0
UgyPVdUuZ7ZoZBxEl0d4AaABAg,Sy sependapat penjelasan pak Ponto,@AbdulRahman-e9q2s,UCEMEsQ_9TzxRI85uDFN-1MQ,2025-09-13T13:14:06Z,0,0
UgzxBzPIZL_jblLJJch4AaABAg,Kayaknya “bukan cuma saya” yang nyari ini 1:06:21,@Jejakedit,UCCVGTRdb3XlePUciv2SQEpw,2025-09-13T13:11:44Z,4,4
UgxXyNJVrSccv6GW9JZ4AaABAg,Ferry uji nyali,@azkakifamily,UCoRsFGW6xDlkJalyA1xBrhA,2025-09-13T11:56:00Z,0,0
UgynTMlNcf7XRDL9zUB4AaABAg,Nitip 59:20,@heraclaus,UCUWf33zBXIcZY2Jvu6QSdcQ,2025-09-13T11:02:23Z,0,0
Ugzfh4Ie2EnC3JOCuSR4AaABAg,"1:44:15 Kepala BP Taskin nya pinter di talkshow, ditunggu hasil Taskin nya",@ilhambastiankid,UCnF0siD4HKv30xauKF2mgsw,2025-09-13T07:14:02Z,0,0
Ugwb8gF8HKwGGK1PSnd4AaABAg,yg lain pembahasan diputer² jawaban gk jelas,@DVLBGS,UCQjD70vny0epQ3kCe5Mpm6Q,2025-09-13T06:37:22Z,0,0
Ugyz0z_W1wx7radvNtl4AaABAg,"Kl. Intelijen yg saya tahu  rambutnya pastin gondrong dan intel gk kyk aparat,,, kta gk pernah dibawak",@aidiloke,UCk9D-paHLlqajpJaebiBZCA,2025-09-13T06:20:11Z,0,0
Ugz9mHcSrTAOOXlQJ6R4AaABAg,"SOLEMAN PONTO MANA SOLEMAN PONTO...
KAMPRETTTTTT....",@moohbae5038,UC99QOVonEbn9Du-UtC8JrYA,2025-09-13T05:51:21Z,0,0
Ugwxi8MVc07_MIMh3Th4AaABAg,"1:07:55 saya ikut nonton yutub ini tapi bukan penonton yutub ini wakakakaka logika pembenaran, sudah pensiun wayahe fokus ibadah dan keluarga, masih bela institusinya",@ilhambastiankid,UCnF0siD4HKv30xauKF2mgsw,2025-09-13T05:41:17Z,0,0
UgyPJEvR82NKhIW3vWh4AaABAg,Pangi Syarwani itu omong apa yaa....Gak py dasar...Pengamat Gak bermutu,@humaidiyus4847,UCac1HPNdwmLhPHhvCJWu83g,2025-09-13T03:04:41Z,0,0
UgwQYzmjrpY36LsUOmZ4AaABAg,Wadduh Omonganne lakok nang Solo....Apa hubungannya???,@humaidiyus4847,UCac1HPNdwmLhPHhvCJWu83g,2025-09-13T02:59:44Z,0,0
UgyuYLieKCt7_T-Xgv94AaABAg,"Wkwkwk sabar banget ferry bisa dengerin dongeng antah barantah,judul kemana debat kemana hahaha",@aaajie7592,UCwuZLYHzNqVHu_yaKQADD4w,2025-09-13T02:21:00Z,0,0
Ugy1nK0T7L-azluiYRl4AaABAg,bayangin aja kalo bang feri emosian 🤣,@ccc-zzz-cz,UCSLE__7-VcWAVU499zuNOdg,2025-09-13T01:57:02Z,0,0
Ugy0joEBqP3PqNT_g7N4AaABAg,Ujungnya yg ajak Demo Siapa???,@humaidiyus4847,UCac1HPNdwmLhPHhvCJWu83g,2025-09-13T01:23:36Z,0,0
UgxeoTcVJmXN9_eUYXR4AaABAg,Gw jadi curiga sama si solema  kyknya dia termasuk bagian dari provokator,@bahtiaradiputra2274,UCwxBGZ1QY0d4dvbBsz94inA,2025-09-12T22:20:42Z,0,0
UgyT2LE3r1LLJN_DQQZ4AaABAg,Udah tertangkap masih ngeles,@MuhammadSubhan-b8x,UCfnKlgnqZxA0LuUDQdwC0Gg,2025-09-12T21:59:27Z,0,0
UgwiQK2ERho3P8syYlZ4AaABAg,"Ngak mungkin orang ditangkap, orang tidak melakukan apa2: kewajiban kok di situasi kemanan. Tentara kan intel pertahanan pak",@pujis5416,UC-CnS95nC1rxet6N3BmKB1A,2025-09-12T15:48:38Z,0,0
Ugwf3a-8X5auw1BSznl4AaABAg,"setelah liat ini ternyata org pintar indonesia banyak banget, banyak perspektif dari berbagai pov juga, jangan cuma pak ferry yang fyp dan rajin bikin konten kita jadi cuma dengerin pov beliau doang ya, gak selamanya dia bener kok, menurut aku cara dia yang tiba2 ngeliatin video mas gibran juga terlalu gegabah dan mikir pendek, benar kata pak soleman ponto ""yang tidak terlihat belum tentu tidak ada, yang terlihat belum tentu itu bentuknya"" politik terlalu kompleks untuk dilihat dari satu sisi kecil saja. harusnya bung ferry sadar itu sih.",@alisnurhamzah,UCCj3tGNqiVEyn6Vy2h7r2Mw,2025-09-12T14:55:30Z,0,0
UgxtIaHyQPDiTSYC5dd4AaABAg,"bener kata pak budiman, kak ferry irwandi pake view itik. sementara negara ini besar, butuh diliat dari view elang, akhirnya gini lahir spekulasi hasil karya pribadi. inget ya kuncinya politik itu complicated, kalo masih langsung ketebak dari arah luar kemungkinan justru itu tujuan plesetan org yang berkepentingan. gak semudah itu tbtb ke gibran dan nuduh solo. spekulasi yang harusnya cukup pihak berwenang yang melakukan prosesnya, malah  dipersulit sama spekulasi spekulasi liar kaya gini.",@alisnurhamzah,UCCj3tGNqiVEyn6Vy2h7r2Mw,2025-09-12T14:29:56Z,0,0
Ugxt_5zthnpQWOPNDZN4AaABAg,Ada komporasi,@urayhandry1478,UCumnRexTdDZxxv5RLzQdhjA,2025-09-12T13:56:25Z,0,0
UgzhLt4B4Y-r-3SEAAx4AaABAg,"Apapun penjelasan nya, intinya pemicu demo adalah kenaikan tunjangan DPR. Lalu jika masalah rusuh, semua bisa dikaitkan, jika dikait2kan, apalagi jika sekedar utk mencari pembenaran. Saya setuju dgn pemikiran Ferry, lbh baik fokus selesaikan inti masalah, atasi itu DPR, atasi itu koruptor, jalankan pemerintahan yang benar, pasti tidak akan ada demo. Pendemo pasti malu mau demo kl semua baik-baik saja.",@non8888-p3d,UCUkxhYY2gYNke8atkgxu5-A,2025-09-12T12:38:45Z,0,0
UgyzG_csZCryNRwWPpR4AaABAg,"""coba gaji dosen naik saya tidak masalah"" anjir seketika aku lngsung hilang rispec sama nih orang 😂",@rindusenja1247,UCaCu7wdpfMKLHXEGh6CMkDQ,2025-09-12T12:33:05Z,0,0
UgzrZX1Kr7aruCw_y9J4AaABAg,"TNI ikut rusuh ataupun tidak saya yakin sebagian besar aparat TNI dengan segala jiwa nasionalisme meraka  terhadap NKRI yang sangat besar,saya yakin Meraka juga marah,Meraka murka,Meraka juga jijik,dengan sgala macam klakuan2 premeritah trutama DPR yg seakan2 sudah tidak lagi peduli soal dengan negara ini dan dibutakan oleh uang, cuman mreka tidak bisa brgerak krna trikat oleh instansi,jbatan dan pmimpin mreka .",@rindusenja1247,UCaCu7wdpfMKLHXEGh6CMkDQ,2025-09-12T11:54:43Z,0,0
UgytlHLdf0QEnDB40Md4AaABAg,"Pak pak, tabungan 1 milyar kok gak kaya. Dibanding orang2 kek gini tabungan paling 100rebu. Mikir buat makan.",@dhenypramudha9657,UCg9VbgrCOEV2sCor0yUYXQA,2025-09-12T10:26:51Z,0,0
Ugw-Sz_hY0-xeOBzJAZ4AaABAg,"Sepertinya hanya PKI yg pingin TNI kembali ke barak. Bukanya skrg yg represif Polisi ya, bukan TNI...

TNI sahabat Rakyat Indonesia, PKI musuh TNI dan Rakyat Indonesia.",@karimbenzemaa3051,UCJCT66Mnlw2PameWYJepEYQ,2025-09-12T10:26:11Z,0,0
UgzGqTVsYZ_AgUqaSEJ4AaABAg,Boomers gampang bgt ke gocek,@niaandria8036,UCBdCgJoU9Mx1XcxT44PVc1A,2025-09-12T09:06:53Z,0,0
